"Name","Start","End","Duration"
"Away","9/22/2019 9:05:09 AM","9/22/2019 9:05:26 AM","0:00:17"
"Power off","9/22/2019 9:05:26 AM","9/22/2019 4:44:05 PM","7:38:39"
"Session lock","9/22/2019 4:44:05 PM","9/22/2019 4:44:29 PM","0:00:24"
"Active","9/22/2019 4:44:29 PM","9/22/2019 5:03:36 PM","0:19:07"
"Active","9/23/2019 8:02:11 AM","9/23/2019 8:16:13 AM","0:14:02"
"Power off","9/23/2019 8:16:13 AM","9/23/2019 8:22:25 AM","0:06:12"
"Session lock","9/23/2019 8:22:25 AM","9/23/2019 8:22:30 AM","0:00:05"
"Active","9/23/2019 8:22:30 AM","9/23/2019 8:48:19 AM","0:25:49"
"Away","9/23/2019 8:48:19 AM","9/23/2019 8:49:24 AM","0:01:05"
"Power off","9/23/2019 8:49:24 AM","9/23/2019 8:58:33 AM","0:09:09"
"Active","9/23/2019 8:58:33 AM","9/23/2019 9:00:58 AM","0:02:25"
"Away","9/23/2019 9:00:58 AM","9/23/2019 9:02:55 AM","0:01:57"
"Power off","9/23/2019 9:02:55 AM","9/23/2019 9:04:12 AM","0:01:17"
"Active","9/23/2019 9:04:12 AM","9/23/2019 9:47:15 AM","0:43:03"
"Power off","9/23/2019 9:47:15 AM","9/23/2019 9:52:57 AM","0:05:42"
"Session lock","9/23/2019 9:52:57 AM","9/23/2019 9:53:07 AM","0:00:10"
"Active","9/23/2019 9:53:07 AM","9/23/2019 10:29:43 AM","0:36:36"
"Power off","9/23/2019 10:29:43 AM","9/23/2019 10:30:30 AM","0:00:47"
"Session lock","9/23/2019 10:30:30 AM","9/23/2019 10:34:22 AM","0:03:52"
"Active","9/23/2019 10:34:22 AM","9/23/2019 10:42:45 AM","0:08:23"
"Away","9/23/2019 10:42:45 AM","9/23/2019 10:55:40 AM","0:12:55"
"Active","9/23/2019 10:55:40 AM","9/23/2019 11:14:58 AM","0:19:18"
"Power off","9/23/2019 11:14:58 AM","9/23/2019 11:18:53 AM","0:03:55"
"Session lock","9/23/2019 11:18:53 AM","9/23/2019 11:18:59 AM","0:00:06"
"Active","9/23/2019 11:18:59 AM","9/23/2019 11:33:30 AM","0:14:31"
"Power off","9/23/2019 11:33:30 AM","9/23/2019 11:38:22 AM","0:04:52"
"Session lock","9/23/2019 11:38:22 AM","9/23/2019 11:38:32 AM","0:00:10"
"Active","9/23/2019 11:38:32 AM","9/23/2019 12:05:24 PM","0:26:52"
