Name,Start,End,Duration,Process
Dark Sky API Documentation (darkskyapis) | RapidAPI - Google Chrome,9/12/2019 9:19,9/12/2019 9:20,0:00:06,Google Chrome
Messenger - Google Chrome,9/12/2019 9:20,9/12/2019 9:20,0:00:10,Google Chrome
Dark Sky API Documentation (darkskyapis) | RapidAPI - Google Chrome,9/12/2019 9:20,9/12/2019 9:20,0:00:06,Google Chrome
Dark Sky API: How To Use the API | RapidAPI - Google Chrome,9/12/2019 9:20,9/12/2019 9:20,0:00:18,Google Chrome
Dark Sky API: Pricing & Cost (darkskyapis) | RapidAPI - Google Chrome,9/12/2019 9:20,9/12/2019 9:20,0:00:10,Google Chrome
Dark Sky API Documentation (darkskyapis) | RapidAPI - Google Chrome,9/12/2019 9:20,9/12/2019 9:20,0:00:07,Google Chrome
New Tab - Google Chrome,9/12/2019 9:20,9/12/2019 9:20,0:00:05,Google Chrome
darksky - Google Search - Google Chrome,9/12/2019 9:20,9/12/2019 9:21,0:00:09,Google Chrome
darksky historical data - Google Search - Google Chrome,9/12/2019 9:21,9/12/2019 9:21,0:00:05,Google Chrome
Dark Sky API: Documentation Overview - Google Chrome,9/12/2019 9:21,9/12/2019 9:21,0:00:12,Google Chrome
Messenger - Google Chrome,9/12/2019 9:21,9/12/2019 9:22,0:00:49,Google Chrome
Dark Sky API: Documentation Overview - Google Chrome,9/12/2019 9:22,9/12/2019 9:24,0:01:52,Google Chrome
Messenger - Google Chrome,9/12/2019 9:24,9/12/2019 9:25,0:01:07,Google Chrome
Messenger - Google Chrome,9/12/2019 9:30,9/12/2019 9:30,0:00:11,Google Chrome
Dark Sky API: Documentation Overview - Google Chrome,9/12/2019 9:30,9/12/2019 9:31,0:00:17,Google Chrome
Dark Sky API: Documentation Overview - Google Chrome,9/12/2019 9:31,9/12/2019 9:32,0:01:24,Google Chrome
Dark Sky API: Register - Google Chrome,9/12/2019 9:32,9/12/2019 9:32,0:00:24,Google Chrome
"Mail - Kozal,Meghan Kathryn - Outlook - Google Chrome",9/12/2019 9:32,9/12/2019 9:33,0:00:08,Google Chrome
Redirecting... | GRADhaus Slack - Google Chrome,9/12/2019 9:33,9/12/2019 9:33,0:00:11,Google Chrome
Slack | drawingandpainting | GRADhaus - Google Chrome,9/12/2019 9:33,9/12/2019 9:33,0:00:21,Google Chrome
"Mail - Kozal,Meghan Kathryn - Outlook - Google Chrome",9/12/2019 9:33,9/12/2019 9:33,0:00:06,Google Chrome
Dark Sky API: Password Reset - Google Chrome,9/12/2019 9:33,9/12/2019 9:33,0:00:07,Google Chrome
