"Name","Start","End","Duration"
"Power off","10/28/2019 11:08:38 AM","10/28/2019 3:23:07 PM","4:14:29"
"Session lock","10/28/2019 3:23:07 PM","10/28/2019 3:23:17 PM","0:00:10"
"Active","10/28/2019 3:23:17 PM","10/28/2019 4:21:42 PM","0:58:25"
"Away","10/28/2019 4:21:42 PM","10/28/2019 4:21:58 PM","0:00:16"
"Power off","10/28/2019 4:21:58 PM","10/28/2019 4:41:20 PM","0:19:22"
"Session lock","10/28/2019 4:41:20 PM","10/28/2019 4:41:28 PM","0:00:08"
"Active","10/28/2019 4:41:28 PM","10/28/2019 4:51:21 PM","0:09:53"
"Away","10/28/2019 4:51:21 PM","10/28/2019 5:31:29 PM","0:40:08"
"Active","10/28/2019 5:31:29 PM","10/28/2019 5:34:57 PM","0:03:28"
"Away","10/28/2019 5:34:57 PM","10/28/2019 5:37:17 PM","0:02:20"
"Power off","10/28/2019 5:37:17 PM","10/28/2019 6:05:09 PM","0:27:52"
"Session lock","10/28/2019 6:05:09 PM","10/28/2019 6:05:15 PM","0:00:06"
"Active","10/28/2019 6:05:15 PM","10/28/2019 6:07:10 PM","0:01:55"
"Active","10/29/2019 8:08:06 AM","10/29/2019 8:20:03 AM","0:11:57"
