Rank	City	Population
497	Indian River Shores	4,252
498	June Park	4,225
499	Belleair	4,217
500	West Bradenton	4,213
501	Lake Belvedere Estates	4,209
502	Stock Island	4,201
503	Mulberry	4,192
504	White City	4,185
505	San Castle	4,170
506	West DeLand	4,162
507	Connerton	4,132
508	Ridge Manor	4,114
509	Jasper	4,098
510	Alturas	4,090
511	South Brooksville	4,038
512	Taylor Creek	3,982
513	Bagdad	3,979
514	Vineyards	3,945
515	Samoset	3,922
516	Highland Beach	3,915
517	Ridge Wood Heights	3,878
518	Charlotte Harbor	3,870
519	Three Oaks	3,850
520	Lely	3,808
521	Umatilla	3,805
522	Holden Heights	3,801
523	Laguna Beach	3,764
524	Pea Ridge	3,727
525	South Beach	3,675
526	St. James City	3,671
527	Lower Grand Lagoon	3,669
528	Point Baker	3,665
529	Montura	3,654
530	Juno Beach	3,648
531	Lake Clarke Shores	3,628
532	Desoto Lakes	3,590
533	High Point	3,571
534	Chipley	3,570
535	Loxahatchee Groves	3,564
536	Port St. Joe	3,562
537	Tierra Verde	3,560
538	Tyndall AFB	3,557
539	Cedar Grove	3,547
540	Feather Sound	3,532
541	Flagler Estates	3,520
542	Windermere	3,509
543	Dover	3,473
544	Pretty Bayou	3,458
545	North Brooksville	3,431
546	Ellenton	3,423
547	Royal Palm Estates	3,416
548	Watergate	3,411
549	North River Shores	3,405
550	Harbour Heights	3,401
551	Nokomis	3,376
552	Cleveland	3,317
553	Melbourne Beach	3,288
554	Ponce Inlet	3,282
555	Frostproof	3,273
556	Seminole Manor	3,226
557	Inverness Highlands North	3,219
558	Whitfield	3,215
559	Hilliard	3,209
560	Midway	3,194
561	Lake Panasoffkee	3,170
562	Ridgecrest	3,168
563	Crystal River	3,162
564	Bay Pines	3,160
565	Biscayne Park	3,159
566	Malabar	3,133
567	Island Walk	3,121
568	Bushnell	3,119
569	Oakland	3,087
570	Chattahoochee	3,065
571	Harbor Bluffs	3,041
572	Bal Harbour	3,039
573	Watertown	3,030
574	Sharpes	3,016
575	Zellwood	2,997
576	Big Coppitt Key	2,994
577	Dade City North	2,981
578	Edgewood	2,977
579	Clarcona	2,935
580	Greenbriar and Manatee Road	2,925
581	Indialantic	2,913
582	Villano Beach	2,903
583	Bowling Green	2,902
584	Port Richey	2,869
585	Bunnell	2,820
586	Lake Helen	2,814
587	Madison	2,797
588	Hypoluxo	2,783
589	Tiger Point	2,779
590	Woodville	2,770
591	Williston	2,718
592	Eagle Lake	2,708
593	Bonifay	2,692
594	Alva	2,684
595	Woodlawn Beach	2,671
596	Balm	2,664
597	Tangelo Park	2,648
598	De Leon Springs	2,627
599	Cabana Colony	2,609
600	Tangerine	2,579
601	Geneva	2,573
602	Hernando Beach	2,567
603	Harlem	2,564
604	Roosevelt Gardens	2,558
605	Verona Walk	2,550
606	Meadow Oaks	2,526
607	Carrabelle	2,515
608	Winter Beach	2,510
609	Blountstown	2,478
610	Freeport	2,472
611	El Portal	2,471
612	Chuluota	2,452
613	Virginia Gardens	2,451
614	Lake Placid	2,439
615	Campbell	2,436
616	Monticello	2,425
617	Polk City	2,422
618	Grenelefe	2,384
619	Olga	2,357
620	Apalachicola	2,344
621	Zephyrhills North	2,342
622	Redington Shores	2,309
623	Eatonville	2,301
624	Sewall's Point	2,216
625	Boulevard Gardens	2,215
626	Graceville	2,200
627	Belleair Bluffs	2,199
628	Oak Hill	2,183
629	Malone	2,170
630	Chiefland	2,169
631	East Bronson and Eastpoint	2,156
632	Pine Air	2,154
633	Trenton	2,125
634	Haverhill	2,123
635	Atlantis	2,109
636	Wewahitchka	2,095
637	Heritage Pines and Wallace	2,091
638	Eglin AFB	2,065
639	Astatula	2,059
640	Charlotte Park	2,058
641	Grove City	2,042
642	Hillsboro Beach	2,020
643	Homosassa	2,019
644	Mangonia Park	2,017
645	East Palatka	1,999
646	Burnt Store Marina	1,998
647	Tavernier	1,994
648	Pine Island Center	1,986
649	Pine Ridge CDP	1,978
650	Williston Highlands	1,967
651	Bear Creek	1,962
652	Ocean Ridge	1,956
653	Gotha	1,911
654	Punta Rassa	1,909
655	Cudjoe Key	1,896
656	Pierson	1,890
657	Taft	1,874
658	Hill 'n Dale	1,870
659	Fort Denaud	1,865
660	Glencoe	1,853
661	Quail Ridge	1,847
662	Oriole Beach	1,824
663	Dunnellon	1,819
664	Century	1,817
665	Lake Mary Jane	1,808
666	Moore Haven	1,807
667	Zolfo Springs	1,803
668	Sneads	1,798
669	Lake Butler city	1,797
670	Wabasso Beach	1,767
671	Lacoochee	1,759
672	Anna Maria	1,749
673	Crooked Lake Park	1,748
674	Silver Lake	1,735
675	Roseland	1,728
676	Cross City	1,712
677	Havana	1,707
678	Weeki Wachee Gardens	1,693
679	Christmas	1,682
680	Montverde	1,675
681	Holley	1,634
682	Key Vista	1,631
683	Belleair Beach	1,609
684	Buckhead Ridge	1,607
685	Harlem Heights	1,585
686	Crescent City	1,542
687	Washington Park	1,537
688	Hawthorne	1,527
689	Gretna	1,526
690	Plantation Mobile Home Park	1,519
691	Keystone Heights	1,518
692	Astor	1,504
693	Baldwin	1,495
694	Redington Beach	1,481
695	North Redington Beach	1,477
696	Indian Shores	1,476
697	South Palm Beach	1,471
698	Interlachen	1,461
699	San Antonio	1,448
700	Lake Hamilton and Patrick AFB	1,442
701	Midway CDP	1,440
702	North DeLand	1,425
703	Kenwood Estates	1,414
704	Center Hill	1,409
705	Babson Park	1,399
706	Cypress Quarters	1,381
707	St. Leo	1,376
708	Black Hammock	1,361
709	Callahan	1,353
710	Bokeelia	1,349
711	Inglis	1,323
712	Palmona Park	1,321
713	Gun Club Estates	1,306
714	Schall Circle	1,293
715	Limestone Creek	1,290
716	Mayo	1,286
717	Bradenton Beach	1,278
718	Palm Beach Shores	1,264
719	Paisley	1,262
720	Black Diamond	1,259
721	Tildenville	1,252
722	Five Points	1,247
723	Molino	1,239
724	Mexico Beach	1,223
725	Howey-in-the-Hills	1,175
726	Archer	1,173
727	Palm Shores	1,160
728	Bronson	1,133
729	Webster	1,114
730	Manasota Key	1,101
731	Allentown	1,064
732	Franklin Park	1,046
733	Yalaha	1,044
734	Panacea	1,029
735	Waldo	1,023
736	Fanning Springs	1,015
737	North Key Largo	1,009
738	Crescent Beach	1,008
739	Bristol	998
740	Navarre Beach	995
741	Crystal Springs	969
742	DeLand Southwest	960
743	Golden Beach	959
744	Jupiter Island	920
745	Pomona Park	916
746	Cottondale	905
747	Rio	893
748	Medley	890
749	Juno Ridge	884
750	Gulf Stream	880
751	Grand Ridge	879
752	Coleman	877
753	Masaryktown	867
754	Jennings and Chumuckla	863
755	Lake Kathryn	858
756	Homestead Base	843
757	Shalimar and Penney Farms	824
758	Paxton	822
