cliff,40
cry,40
currently,40
fam,40
finding,40
handle,40
hannah,40
health,40
husband,40
medicine,40
missing,40
places,40
questions,40
realizing,40
response,40
silent,40
table,40
throw,40
ticklish,40
wasnt,40
watched,40
whoa,40
wife,40
yall,40
colors,39
dead,39
die,39
fairly,39
hanging,39
ideal,39
isabella,39
lazy,39
lets,39
lucky,39
marriage,39
mood,39
omg,39
pray,39
pregnant,39
ran,39
sass,39
sneaky,39
south,39
terms,39
throughout,39
weather,39
write,39
beginning,38
falling,38
fault,38
floor,38
glasses,38
honest,38
interview,38
lecture,38
lives,38
mn,38
noticed,38
older,38
playlist,38
post,38
potentially,38
prayer,38
rolling,38
shows,38
sing,38
snuggling,38
soft,38
suit,38
tbh,38
teach,38
test,38
third,38
um,38
wrote,38
ahhh,37
area,37
bugs,37
comfy,37
credit,37
explain,37
extremely,37
faces,37
faith,37
goodnight,37
hi,37
hurts,37
memory,37
none,37
obvious,37
practical,37
push,37
saturday,37
seemed,37
sister,37
ticket,37
aint,36
breath,36
bunch,36
control,36
duck,36
emotions,36
five,36
gainesville,36
loans,36
muscles,36
problems,36
ride,36
seconds,36
starts,36
stories,36
sweaty,36
air,35
alarm,35
clear,35
coffee,35
drop,35
expensive,35
hahahahaha,35
learning,35
onto,35
perfectly,35
plans,35
slow,35
trouble,35
youd,35
apart,34
bigger,34
black,34
blanket,34
changing,34
checked,34
common,34
exercise,34
gives,34
hadnt,34
heck,34
involved,34
lake,34
loud,34
mad,34
moved,34
overly,34
phrase,34
randy,34
reaction,34
seriously,34
spending,34
stressed,34
travel,34
wiggling,34
won,34
yike,34
above,33
attachment,33
corner,33
crush,33
email,33
gotchu,33
inside,33
kept,33
movies,33
necessary,33
normally,33
office,33
planned,33
relationships,33
research,33
rice,33
shot,33
sides,33
tiny,33
window,33
adventure,32
breakfast,32
brown,32
choice,32
couch,32
ends,32
engagement,32
finish,32
funky,32
itll,32
itself,32
laundry,32
lines,32
netflix,32
played,32
process,32
simple,32
snuggle,32
socks,32
spring,32
stress,32
sweetness,32
teeth,32
theres,32
within,32
added,31
allowed,31
argue,31
catholic,31
clearly,31
convo,31
dates,31
decide,31
follow,31
form,31
heather,31
immediately,31
major,31
messaged,31
messaging,31
mouth,31
overwhelmed,31
poor,31
recently,31
showed,31
sooner,31
