word,count
worked,79
spoil,79
isnât,79
door,79
alone,79
afternoon,79
text,78
shoulder,78
forward,78
messages,77
birthday,77
attachment,77
wanting,76
passed,76
others,76
monday,76
hearing,76
general,76
front,76
easier,76
clothes,76
prefer,75
option,75
normal,75
mhm,75
listen,75
grad,75
gentle,75
answer,75
yeahhhh,74
sunday,74
stuck,74
special,74
present,74
obviously,74
likely,74
helps,74
green,74
cuddles,74
brilla,74
brain,74
awww,74
ago,74
straight,73
pressure,73
pain,73
literally,73
gone,73
twice,72
options,72
minnesota,72
laughing,72
holding,72
dude,72
driving,72
across,72
train,71
mentioned,71
lots,71
lost,71
hurt,71
easy,71
difference,71
yeahhhhh,70
whether,70
step,70
spent,70
single,70
sigh,70
screen,70
must,70
learned,70
dress,70
cut,70
attractive,70
worth,69
visit,69
spot,69
sheâs,69
sharing,69
pictures,69
join,69
eventually,69
dang,69
believe,69
trip,68
pulling,68
points,68
playing,68
particular,68
outside,68
kid,68
jenny,68
god,68
finally,68
evening,68
busy,68
arent,68
30,68
20,68
youâve,67
wednesday,67
towards,67
stupid,67
pillow,67
gift,67
exhausted,67
count,67
cheek,67
tuesday,66
sending,66
minute,66
lean,66
happening,66
dumb,66
buy,66
whoot,65
waking,65
hungry,65
hate,65
fight,65
data,65
continue,65
â¤,65
resting,64
quickly,64
putting,64
particularly,64
mmmmm,64
medical,64
letting,64
language,64
isabella,64
incredible,64
helping,64
football,64
cream,64
changed,64
student,63
science,63
respond,63
four,63
cooking,63
college,63
bringing,63
blue,63
100%,63
teaching,62
taken,62
showing,62
roll,62
quick,62
nana,62
musical,62
lower,62
kitchen,62
frustrated,62
become,62
social,61
safe,61
riehm,61
reasons,61
physical,61
loving,61
light,61
fully,61
eye,61
expect,61
bug,61
band,61
attention,61
wise,60
tickle,60
thoughts,60
store,60
singing,60
ohio,60
needs,60
moments,60
interview,60
fly,60
facebook,60
coding,60
awkward,60
worries,59
smell,59
nah,59
hospital,59
distance,59
desire,59
comment,59
comfy,59
calendar,59
bus,59
boy,59
ahead,59
wife,58
whoa,58
touch,58
somehow,58
smiling,58
parking,58
luck,58
etc,58
booty,58
available,58
white,57
stick,57
songs,57
rubbing,57
parts,57
lose,57
joke,57
ice,57
frustrating,57
expecting,57
card,57
state,56
red,56
project,56
pass,56
mn,56
likes,56
isnt,56
human,56
decent,56
soft,55
please,55
keeping,55
joy,55
huge,55
heâs,55
excuse,55
concerned,55
brought,55
welcome,54
trust,54
strong,54
snuggling,54
roommate,54
practice,54
physically,54
given,54
feet,54
chicken,54
behind,54
awesome,54
actual,54
turned,53
studio,53
solid,53
sappy,53
places,53
missing,53
doctor,53
wiggling,52
table,52
students,52
stomach,52
smart,52
self,52
remind,52
productive,52
possibly,52
pizza,52
onto,52
notice,52
lucky,52
ish,52
hahahahaha,52
dancing,52
constantly,52
bathroom,52
whatâs,51
takes,51
staying,51
situation,51
shopping,51
serious,51
hurting,51
hang,51
generally,51
double,51
blanket,51
beat,51
walked,50
team,50
steal,50
somewhere,50
slept,50
level,50
difficult,50
currently,50
challenge,50
awake,50
area,50
ahhh,50
volunteering,49
support,49
speaking,49
skype,49
skin,49
shirts,49
problems,49
multiple,49
michigan,49
handle,49
fam,49
control,49
15,49
writing,48
wrapped,48
truly,48
ticklish,48
tickling,48
professional,48
large,48
health,48
hannah,48
grocery,48
